2024-03-07 04:39:09 | GOAL | tasks.alfworld | Example 0 | Goal: look at bowl under the desklamp.
2024-03-07 04:39:09 | INFO | tasks.alfworld | Step 00 - Message: You are in the middle of a room. Looking quickly around you, you see a bed 1, a desk 2, a desk 1, a drawer 6, a drawer 5, a drawer 4, a drawer 3, a drawer 2, a drawer 1, a garbagecan 1, a laundryhamper 1, a safe 1, a shelf 6, a shelf 5, a shelf 4, a shelf 3, a shelf 2, and a shelf 1.
2024-03-07 04:40:39 | INFO | tasks.alfworld | Step 00 - Action: go to desk 1
2024-03-07 04:40:40 | INFO | tasks.alfworld | Step 00 - Observation: On the desk 1, you see a desklamp 1, a keychain 3, a mug 2, a pen 2, a pen 1, and a pencil 2.
2024-03-07 04:40:40 | INFO | tasks.alfworld | Step 00 - Progress Rate: 0.25

2024-03-07 04:41:37 | INFO | tasks.alfworld | Step 01 - Action: go to desk 2
2024-03-07 04:41:37 | INFO | tasks.alfworld | Step 01 - Observation: On the desk 2, you see a alarmclock 1, a bowl 1, and a cd 3.
2024-03-07 04:41:37 | INFO | tasks.alfworld | Step 01 - Progress Rate: 0.5

2024-03-07 04:42:01 | INFO | tasks.alfworld | Step 02 - Action: take bowl 1 from desk 2
2024-03-07 04:42:01 | INFO | tasks.alfworld | Step 02 - Observation: You pick up the bowl 1 from the desk 2.
2024-03-07 04:42:01 | INFO | tasks.alfworld | Step 02 - Progress Rate: 0.75

2024-03-07 04:45:09 | INFO | tasks.alfworld | Step 03 - Action: go to desk 1
2024-03-07 04:45:09 | INFO | tasks.alfworld | Step 03 - Observation: On the desk 1, you see a desklamp 1, a keychain 3, a mug 2, a pen 2, a pen 1, and a pencil 2.
2024-03-07 04:45:09 | INFO | tasks.alfworld | Step 03 - Progress Rate: 0.75

2024-03-07 04:47:21 | GUESS_ACTION | tasks.alfworld | Step 04 - Action: use desklamp 1
2024-03-07 04:47:21 | INFO | tasks.alfworld | Step 04 - Observation: You turn on the desklamp 1.
2024-03-07 04:47:21 | INFO | tasks.alfworld | Step 04 - Progress Rate: 1.0

2024-03-07 04:47:22 | INFO | tasks.alfworld | use guess percentage: 0.25
2024-03-07 04:47:22 | FINISH | tasks.alfworld | Example 0 | Success: True , Progress Rate: 1.0 , Steps: 4

2024-03-07 04:47:23 | GOAL | tasks.alfworld | Example 1 | Goal: put two soapbar in garbagecan.
